Blog	four	looking	second	here	music	until	want	feature	wrong	series	re	wasn	service	needed	project	came	than	release	result	best	asked	much	life	worked	things	had	easy	possible	right	old	people	o	support	call	happy	inside	time	team	love	working	awesome	such	data	years	course	didn	internet	million	quite	open	city	future	san	say	take	ways	going	where	many	wants	photos	technology	being	rest	around	world	favorite	image	her	october	gone	am	original	tv	th	large	small	past	hours	experience	pick	via	company	states	its	always	found	really	research	major	also	play	sometimes	microsoft	set	sex	see	available	last	whole	community	read	recent	person	couple	d	continue	anything	into	link	line	us	ago	having	code	results	try	video	let	great	makes	tools	next	process	high	move	perfect	doing	could	start	system	haven	face	fact	should	hope	means	stuff	edition	email	ve	site	off	less	web	five	become	does	official	chance	worth	announced	above	told	work	interview	after	order	office	them	break	network	created	another	do	away	com	hand	thanks	board	night	comments	post	months	way	update	together	change	live	car	heard	write	product	use	remember	still	now	year	space	shows	care	browser	online	price	only	between	comes	these	media	food	thinking	real	early	using	business	aren	lot	trying	building	since	month	very	learned	family	takes	help	soon	actually	ceo	beyond	event	issue	reason	put	american	mobile	latest	pretty	during	x	close	won	probably	both	else	look	while	used	user	game	popular	run	step	within	doesn	e	go	facebook	michael	click	stage	started	point	links	including	special	keep	exactly	need	able	talk	based	she	written	well	page	twitter	home	he	friends	amp	companies	likely	even	ever	never	tell	give	amazing	answer	before	personal	better	weeks	went	side	mean	content	isn	moving	features	matter	seen	don	m	stop	bar	bad	said	against	appeared	three	make	left	just	human	yes	yet	deal	track	down	weekend	show	finally	did	making	may	man	maybe	nbsp	group	interesting	morning	thing	think	fast	little	anyone	were	especially	enough	black	get	nearly	behind	reading	across	according	mark	those	sound	then	different	pay	same	running	money	either	users	videos	general	again	important	u	public	search	two	share	needs	already	through	good	everyone	house	hard	idea	done	least	part	built	build	tool	most	services	find	please	simply	create	understand	talking	fun	itself	source	big	bit	google	often	back	decision	forward	single	later	control	ll	day	text	value	almost	thought	add	happens	buy	minutes	under	every	school	voice	would	phone	must	me	times	end	over	writing	each	got	free	days	key	top	too	took	though	watch	amazon	report	full	however	news	quickly	several	social	everything	security	why	head	hear	check	no	faster	water	iphone	today	information	name	software	turn	place	coming	released	any	sure	state	review	outside	come	case	myself	someone	week	without	seems	blog	oh	there	longer	program	far	list	design	version	problem	short	might	wouldn	number	feel	says	story	kind	added	nothing	his	hit	him	wrote	art	recently	c	due	questions	customers	question	long	called	once	issues	apple	app	few	women	something	six	instead	looks	our	york	their	which	who	class	local	view	stories	job	gets	other	know	press	because	lead	getting	own	apps	made	whether	book
Schneier on Security	2	2	0	0	0	0	0	0	0	0	4	1	2	0	0	0	2	0	1	0	0	2	0	0	0	6	1	0	1	0	7	0	0	1	0	0	1	0	0	0	0	2	18	1	1	1	1	0	0	0	0	0	0	1	0	2	1	1	3	0	0	2	3	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	5	0	0	2	0	0	2	2	1	0	0	0	1	0	0	2	0	1	3	1	0	11	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	3	2	0	1	1	0	0	2	0	0	1	0	3	1	0	0	1	2	0	0	1	1	0	1	0	0	2	0	0	7	0	0	1	1	1	0	1	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	6	0	1	7	0	0	0	0	0	0	0	8	2	0	1	0	0	2	1	0	6	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	1	0	0	0	0	2	0	0	1	3	1	1	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	1	2	0	2	4	0	0	1	0	0	0	6	0	0	5	0	3	0	1	2	0	0	0	3	0	0	0	1	0	0	0	2	1	1	0	1	1	1	1	0	2	0	1	1	1	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	1	2	0	2	2	0	0	2	3	1	0	0	3	0	0	1	0	0	0	2	0	2	1	0	2	0	0	1	0	0	1	2	0	1	2	2	1	0	1	1	1	4	0	0	1	0	1	0	0	3	1	0	3	1	1	0	0	0	0	2	0	0	0	0	0	3	0	8	0	0	1	1	0	0	0	0	0	1	0	3	0	0	0	1	2	0	0	8	7	0	1	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	2	0	0	0	3	15	2	1	1	0	4	0	0	6	0	0	1	0	0	1	0	0	3	0	0	0	0	1	1	0	0	1	4	0	0	0	6	2	2	2	0	0	0	1	0	0	0	0	0	1	0	2	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	10	1	0	0	1	0	0	0	10	0	6	5	9	0	0	0	3	0	0	2	2	0	4	1	0	1	0	2	0	0
PaulStamatiou.com - Technology, Design and Photography	2	21	13	64	15	36	111	29	5	6	113	17	22	18	5	13	79	1	5	42	12	131	21	14	58	90	33	11	70	27	69	13	20	13	11	19	141	14	28	52	2	33	51	25	34	37	6	3	25	31	5	17	10	20	60	11	52	79	57	11	110	4	50	8	61	15	6	104	3	0	4	23	7	12	1	30	36	16	23	41	5	21	21	10	31	33	29	44	4	2	90	19	4	0	67	0	85	10	49	5	9	86	13	15	0	75	4	26	119	19	23	27	16	47	34	16	19	72	40	43	27	17	47	43	28	8	10	27	56	34	22	16	4	5	57	4	20	21	10	82	68	101	29	25	44	2	12	31	3	6	6	5	24	4	64	2	79	2	20	123	4	12	16	45	161	33	52	4	12	11	5	9	149	19	60	23	13	28	18	3	5	23	34	185	11	46	148	31	10	5	8	41	7	7	163	30	22	69	94	0	17	19	13	75	5	5	32	25	13	49	28	38	10	16	15	29	12	40	3	10	8	12	10	24	0	108	7	25	20	99	16	22	24	32	8	47	73	53	110	5	16	37	22	8	34	12	58	15	2	24	2	38	37	12	22	2	37	20	93	25	14	26	0	2	50	71	66	37	15	25	51	4	17	72	22	26	21	13	7	5	51	8	76	8	10	14	9	79	8	18	15	10	8	113	118	10	13	6	17	2	4	12	58	23	192	1	14	28	7	9	48	4	26	7	31	12	43	2	10	0	11	20	4	51	47	22	25	6	32	6	25	9	149	4	8	21	9	0	7	53	6	110	39	8	51	31	8	17	66	9	6	25	17	1	7	62	38	27	13	21	48	55	17	1	33	23	40	13	53	19	26	11	71	12	47	11	17	36	4	21	9	14	16	27	55	73	26	69	4	4	12	33	38	103	36	33	15	12	21	32	11	12	18	8	42	2	6	102	25	20	186	27	56	48	17	48	32	11	16	13	35	66	16	36	11	45	3	19	28	18	22	27	9	47	2	49	17	9	10	98	12	4	35	11	8	28	18	18	18	15	4	92	36	12	13	8	34	23	21	18	39	31	18	91	9	169	10	4	16	22	116	44	9	5	25	9	11	12	5	11	21	13	8	13	12	3	7	5	17	25	9	7	5	3	25	28	15	18	23	90	105	0	56	2	40	54	81	4	108	66	17	19	9	15	1	14	13	90	48	3	26	4	40	57	34	35	7	8
Search Engine Roundtable	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	6	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	5	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Copyblogger	1	1	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	2	1	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	10	0	1	0	0	2	1	0	0	0	1	1	0	2	0	2	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	3	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	14	1	0	1	0	0	1	2	0	0	0	0	0	10	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	12	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	4	0	0	3	3	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	2	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	3	1	2	1	6	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	2	0	0	1	1	0	1	0	0	0	0
John Battelle's Search Blog	0	0	0	3	2	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	1	3	0	4	3	0	0	2	0	1	0	1	1	0	0	0	1	1	0	0	0	0	2	1	1	7	0	1	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	3	0	0	8	0	3	0	1	1	0	0	0	0	0	0	0	0	5	0	1	0	0	2	0	0	0	2	0	0	2	1	0	0	2	0	4	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	2	3	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	20	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	5	0	1	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0	0	0	0	0	1	20	0	0	0	0	3	8	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	4	0	1	0	0	0	0	0	2	4	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	9	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	3	1	0	0	0	0	3	0	2	1	0	0	0	0	0	2	0	5	1	1	21	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	1	0	1	3	0	2	0	0	0	0	3	1	0	0	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	0	4	0	0	1	1	0	1	0	0	0
Engadget RSS Feed	1	1	1	0	0	1	4	0	0	2	7	0	2	0	0	0	1	0	0	0	0	2	1	0	0	2	1	0	2	1	0	0	1	0	2	1	3	1	0	1	0	0	3	2	2	2	0	0	1	0	5	1	0	1	6	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	9	1	0	0	3	1	1	5	0	2	1	0	0	2	3	1	0	0	0	0	2	0	0	0	3	0	1	1	1	0	2	0	0	1	0	1	0	1	1	0	0	0	0	0	2	2	3	1	1	1	1	0	2	0	1	1	8	0	1	0	1	0	1	0	0	2	0	2	0	0	0	0	2	0	0	1	0	0	1	0	0	2	0	3	2	0	1	0	3	0	1	2	0	0	1	0	0	0	0	2	0	0	8	1	2	0	0	0	1	0	1	0	0	0	2	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	2	0	1	1	2	0	5	0	0	0	0	3	0	1	0	0	0	1	0	1	0	1	0	2	0	0	0	0	1	0	0	4	1	1	2	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	3	1	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	1	1	3	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	3	1	0	0	0	0	0	2	1	0	0	0	4	0	2	0	0	0	0	1	0	0	0	1	0	5	0	1	1	0	0	0	2	1	1	1	0	1	0	0	0	1	0	0	0	0	2	0	4	0	1	0	0	1	1	0	1	1	1	0	0	1	0	0	1	2	1	1	0	1	0	0	0	0	1	0	0	0	0	3	0	0	2	4	0	1	1	0	1	0	2	2	3	0	2	0	2	0	0	0	0	1	0	0	0	5	0	0	1	0	1	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	2	0	0	0	0	2	0	1	0	2	2	3	0	1	0	0	0	0	1	2	1	0	0	0	2	2	4	0	0	0
TMZ.com	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	4	0	0	1	1	2	1	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	1	0	1	2	0	0	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	1	1	1	0	1	0	0	1	2	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0	2	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	3	0	4	0	2	1	1	0	0	0	2	2	1	0	0	0	0	0	4	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	3	0	0	0	1	0	3	6	0	3	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	1	5	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	5	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	12	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	4	0	0	0	0	2	1	0	2	0	1	0	1	0	0	0	0	0
TUAW: Apple news, reviews and how-tos since 2004 RSS Feed	0	0	0	5	1	0	2	1	0	0	3	0	1	0	0	1	3	0	0	3	0	1	0	0	1	2	0	0	0	0	3	0	1	0	0	0	6	0	0	1	0	0	4	4	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	1	1	0	0	0	0	1	3	0	1	2	0	1	0	0	0	1	1	1	4	0	0	3	2	0	2	0	2	0	0	1	0	0	0	0	0	0	0	1	6	0	0	0	5	1	0	0	0	0	1	0	0	3	0	0	0	2	0	0	1	2	1	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	4	0	0	0	0	1	1	1	0	3	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	4	1	0	0	0	0	1	0	1	6	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	4	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4	1	0	0	0	1	1	2	0	1	1	2	2	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	2	0	0	1	0	0	1	1	0	3	0	1	1	0	1	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	6	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	2	1	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	2	0	0	0	0	2	2	0	2	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	2	0	2	2	1	0	1	1	0	1	0	0	2	0	0	1	7	0	0	1	0	0	1	2	0	0	0	0	2	3	0	0	0	0	0	0	0	0	2	0	0	11	4	2	0	1	0	0	0	1	1	2	0	0	0	1	0	0	0	6	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	12	20	2	0	0	0	0	0	6	0	2	0	2	1	1	0	0	0	0	2	0	0	0	0	0	3	11	0	0	0
A Consuming Experience (full feed)	0	0	0	16	0	1	9	0	2	0	13	1	0	2	1	2	5	1	0	4	1	1	0	9	2	12	1	5	10	6	9	0	2	0	0	5	13	0	1	7	0	0	1	2	0	5	3	0	0	29	0	0	0	2	3	2	2	8	3	0	0	0	0	0	0	0	0	0	0	0	0	1	11	2	0	0	0	1	3	0	1	2	0	0	6	6	11	3	0	0	10	0	1	3	6	0	20	1	0	0	0	2	0	0	1	7	3	6	0	0	2	0	0	4	1	0	18	1	2	0	0	5	8	2	0	3	0	1	8	10	1	2	0	0	13	2	0	1	0	0	19	3	3	1	1	0	0	1	0	0	3	0	5	0	15	0	13	1	0	8	0	3	1	2	16	0	0	0	1	0	0	0	9	0	15	4	0	2	0	0	0	0	0	18	1	4	14	0	4	0	1	20	2	0	19	1	0	0	0	0	1	1	0	17	0	0	3	7	0	2	0	2	0	0	3	2	2	0	0	0	0	0	2	0	0	0	0	1	0	4	8	2	2	11	3	5	1	2	2	0	0	4	2	3	7	0	14	0	0	18	1	2	1	0	0	0	8	2	8	1	0	3	0	1	5	2	0	0	0	0	2	0	1	13	0	1	0	1	0	0	12	2	3	0	0	0	0	0	3	3	0	0	0	19	1	5	23	1	0	2	0	0	18	10	30	0	5	3	1	0	8	0	2	1	2	0	15	0	0	29	0	0	0	2	1	1	0	0	3	1	2	0	17	0	0	0	3	0	0	4	0	34	2	0	17	6	0	1	2	0	2	16	1	0	0	6	4	0	0	7	1	1	0	0	1	0	1	3	0	1	0	24	5	0	9	6	0	1	0	0	0	3	3	2	13	0	0	9	0	1	2	4	0	8	1	3	1	1	0	18	0	0	4	0	5	0	0	2	0	1	12	1	1	12	0	2	4	6	1	3	8	3	1	3	0	2	2	4	6	0	2	0	0	3	3	3	0	0	6	10	5	0	0	0	0	13	0	1	1	0	0	2	11	0	6	0	0	4	1	0	0	5	5	1	0	24	3	7	3	3	0	22	10	0	1	3	4	1	1	0	1	2	2	0	2	0	0	0	2	3	0	0	0	0	3	1	4	4	1	0	1	0	5	0	4	2	0	0	4	16	3	0	0	10	0	0	2	13	2	7	14	1	2	3	0	4	0	0
Latest from Crooks and Liars	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	2	0	2	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	1	1	1	2	1	0	0	2	0	0	0	0	0	5	0	0	0	1	1	1	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	6	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	2	0	2	2	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	0	1	2	0	0	0	0	3	12	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	3	2	1	1	2	0	1	0	0	0	0	0	1	1	3	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	1	0	1	0	3	1	0	0	1	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	4	1	0	5	0	0	1	2	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	2	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	3	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	4	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	6	0	4	0	3	0	1	0	0	1	0	1	0	0	2	0	1	3	0	1	0	0
